year,decade,rank,title,artist
1964,1960s,18,Little Children,Billy J. Kramer & The Dakotas
1964,1960s,19,Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers
1964,1960s,20,Under the Boardwalk,The Drifters
1964,1960s,21,Chapel of Love,The Dixie Cups
1964,1960s,22,Suspicion,Terry Stafford
1964,1960s,23,Glad All Over,The Dave Clark Five
1964,1960s,24,Rag Doll,The Four Seasons
1964,1960s,26,Bread and Butter,The Newbeats
1964,1960s,27,It Hurts to Be in Love,Gene Pitney
1964,1960s,28,Dead Man's Curve,Jan and Dean
1964,1960s,29,Come a Little Bit Closer,Jay and the Americans
1964,1960s,30,A World Without Love,Peter and Gordon
1964,1960s,31,Have I the Right?,The Honeycombs
1964,1960s,32,Don't Let the Rain Come Down (Crooked Little Man),The Serendipity Singers
1964,1960s,33,Baby Love,The Supremes
1964,1960s,34,Let It Be Me,Betty Everett & Jerry Butler
1964,1960s,35,Wishin' and Hopin',Dusty Springfield
1964,1960s,36,You Don't Own Me,Lesley Gore
1964,1960s,37,Walk On By,Dionne Warwick
1964,1960s,38,The House of the Rising Sun,The Animals
1964,1960s,39,G.T.O.,Ronny & the Daytonas
1964,1960s,40,Twist and Shout,The Beatles
1964,1960s,41,Memphis,Johnny Rivers
1964,1960s,42,White on White,Danny Williams
1964,1960s,43,Hey Little Cobra,The Rip Chords
1964,1960s,44,The Shoop Shoop Song (It's in His Kiss),Betty Everett
1964,1960s,45,Bits and Pieces,The Dave Clark Five
1964,1960s,46,My Boy Lollipop,Millie Small
1964,1960s,47,"Um, Um, Um, Um, Um, Um",Major Lance
1964,1960s,48,The Little Old Lady (from Pasadena),Jan and Dean
1964,1960s,49,Don't Let the Sun Catch You Crying,Gerry and the Pacemakers
1964,1960s,50,A Summer Song,Chad & Jeremy
1964,1960s,51,The Girl from Ipanema,Stan Getz & Astrud Gilberto
1964,1960s,52,Can't Buy Me Love,The Beatles
1964,1960s,53,Remember (Walking in the Sand),The Shangri-Las
1964,1960s,54,C'mon and Swim,Bobby Freeman
1964,1960s,55,Do You Want to Know a Secret,The Beatles
1964,1960s,56,Keep On Pushing,The Impressions
1964,1960s,57,Baby I Need Your Loving,Four Tops
1964,1960s,58,Navy Blue,Diane Renay
1964,1960s,59,Diane,The Bachelors
1964,1960s,60,Out of Limits,The Marketts
1964,1960s,61,Little Honda,The Hondells
1964,1960s,62,Chug-a-Lug,Roger Miller
1964,1960s,63,See the Funny Little Clown,Bobby Goldsboro
1964,1960s,64,Because,The Dave Clark Five
1964,1960s,65,(Just Like) Romeo and Juliet,The Reflections
1964,1960s,66,For You,Rick Nelson
1964,1960s,67,Today,The New Christy Minstrels
1964,1960s,68,Can't You See That She's Mine,The Dave Clark Five
1964,1960s,69,Leader of the Pack,The Shangri-Las
1964,1960s,70,Funny How Time Slips Away,Joe Hinton
1964,1960s,71,The Way You Do the Things You Do,The Temptations
1964,1960s,72,Anyone Who Had a Heart,Dionne Warwick
1964,1960s,73,I Love You More and More Every Day,Al Martino
1964,1960s,74,It's Over,Roy Orbison
1964,1960s,75,Ronnie,The Four Seasons
1964,1960s,76,Surfin' Bird,The Trashmen
1964,1960s,77,What Kind of Fool (Do You Think I Am),The Tams
1964,1960s,78,The Door Is Still Open to My Heart,Dean Martin
1964,1960s,79,You Really Got Me,The Kinks
1964,1960s,80,The Shelter of Your Arms,Sammy Davis Jr.
1964,1960s,81,I'm So Proud,The Impressions
1964,1960s,82,I Wanna Love Him So Bad,The Jelly Beans
1964,1960s,83,Dang Me,Roger Miller
1964,1960s,84,Cotton Candy,Al Hirt
1964,1960s,85,(You Don't Know) How Glad I Am,Nancy Wilson
1964,1960s,86,Money (That's What I Want),The Kingsmen
1964,1960s,87,Don't Throw Your Love Away,The Searchers
1964,1960s,88,Hi-Heel Sneakers,Tommy Tucker
1964,1960s,89,How Do You Do It?,Gerry and the Pacemakers
1964,1960s,90,"Walk, Don't Run '64",The Ventures
1964,1960s,91,Do You Love Me,The Dave Clark Five
1964,1960s,92,Shangri-La,Robert Maxwell
1964,1960s,93,Haunted House,Jumpin' Gene Simmons
1964,1960s,94,Steal Away,Jimmy Hughes
1964,1960s,95,I Saw Her Standing There,The Beatles
1964,1960s,96,A Fool Never Learns,Andy Williams
1964,1960s,97,Bad to Me,Billy J. Kramer & The Dakotas
1964,1960s,98,There! I've Said It Again,Bobby Vinton
1964,1960s,99,Louie Louie,The Kingsmen
1964,1960s,100,Needles and Pins,The Searchers
1965,1960s,1,Wooly Bully,Sam the Sham and the Pharaohs
1965,1960s,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops
1965,1960s,3,(I Can't Get No) Satisfaction,The Rolling Stones
1965,1960s,4,You Were on My Mind,We Five
1965,1960s,5,You've Lost That Lovin' Feelin',The Righteous Brothers
1965,1960s,6,Downtown,Petula Clark
1965,1960s,7,Help!,The Beatles
1965,1960s,8,Can't You Hear My Heartbeat,Herman's Hermits
1965,1960s,9,Crying in the Chapel,Elvis Presley
